sys_name,ms,dms,metal,dmetal,Mtp,dMtp,M_r,dM_r,M_gi,dM_gi,com,dcom,N_r,N_gi,n_planets
TRAPPIST-1,0.08,0.006999999999999999,0.04,0.08,0.017701,0.010374,5.6200675,3.2937449999999995,0.0,0.0,0.02903990734986724,0.03440702778642578,7,0,7
K2-138,0.93,0.06,0.16,0.04,0.1139,0.030500000000000003,23.1775,7.7787500000000005,0.0409,0.006,0.08350361720807727,0.05363726360707952,5,1,6
TOI-178,0.65,0.028999999999999998,-0.23,0.049999999999999996,0.07802999999999999,0.01928,24.774525,6.1213999999999995,0.0,0.0,0.08066560809944893,0.043717879330480276,6,0,6
GJ 876,0.33399999999999996,0.03,0.05,0.2,2.8609999999999998,0.045,6.985,0.3175,2.839,0.044,0.18530186378888502,0.005412808745368691,1,3,4
WASP-47,1.04,0.03,0.38,0.05,2.5151399999999997,0.07977000000000001,6.823075000000001,0.6604000000000001,2.4936499999999997,0.07769000000000001,0.7596020487925127,0.21437009925180261,1,3,4
Kepler-80,0.73,0.03,0.04,0.08,0.07724,0.0095,24.523699999999998,3.0162500000000003,0.0,0.0,0.05852419730709476,0.015305086411411189,4,0,4
Kepler-79,1.17,0.04,-0.073,0.009000000000000001,0.0853,0.0347,16.1925,4.98475,0.0343,0.019,0.2114548651817116,0.16365162745375608,3,1,4
KOI-94,1.28,0.05,0.023,0.002,0.526,0.186,0.0,0.0,0.526,0.186,0.18327865019011405,0.1401703401812951,0,4,4
K2-266,0.69,0.03,-0.12,0.42,0.1094,0.04857,9.178925,3.908425,0.08048999999999999,0.03626,0.08265694698354661,0.06997356229424917,2,2,4
Kepler-411,0.87,0.04,0.23,0.48,0.24541000000000002,0.04624999999999999,0.0,0.0,0.24541000000000002,0.04624999999999999,0.11743946456949594,0.051636605013402816,0,4,4
Kepler-107,1.24,0.03,0.321,0.065,0.06764,0.021679999999999998,21.4757,6.8834,0.0,0.0,0.084462989355411,0.05710617251959359,3,0,3
K2-19,0.93,0.05000000000000001,0.10000000000000002,0.04,0.16690000000000002,0.0382,9.8425,9.8425,0.13590000000000002,0.0072,0.0713505092869982,0.02734547306628718,1,2,3
Kepler-289,1.08,0.02,0.05000000000000001,0.04,0.456,0.07400000000000001,11.43,7.62,0.42,0.05,0.48973684210526314,0.17594413665743305,2,1,3
Kepler-20,0.9499999999999998,0.05000000000000001,0.07,0.08,0.10232,0.02318,9.6901,1.4382749999999997,0.0718,0.01865,0.15957263487099296,0.08896268252843643,1,2,3
Kepler-9,1.02,0.04,0.05000000000000001,0.07,0.247148264481,0.01588608816034,5.244548972717499,1.74818299090795,0.23063,0.01038,0.1672427629913983,0.022380664291452253,1,2,3
TOI-270,0.4000000000000001,0.02,-0.17,0.10000000000000002,0.0438,0.0176,13.906500000000001,5.588,0.0,0.0,0.05505616438356164,0.048166403953211985,3,0,3
Kepler-82,0.91,0.03,0.15,0.10000000000000002,0.14772000000000002,0.00967,0.0,0.0,0.14772000000000002,0.00967,0.27242842539940426,0.038204643065341444,0,3,3
Kepler-18,0.9700000000000001,0.04,0.19000000000000003,0.06,0.128,0.021,6.985,3.4925,0.10600000000000001,0.01,0.08702031250000002,0.026563488769531258,1,2,3
K2-155,0.65,0.03,-0.3,0.20000000000000004,0.050699999999999995,0.0044,16.097250000000003,1.3969999999999998,0.0,0.0,0.11349191321499015,0.024505215348046484,3,0,3
